;pais_destino;ano;quantidade_l;valor_uss
771;Angola;2014;12182;23124
772;Anguilla;2014;0;0
773;Antígua e Barbuda;2014;0;0
774;Antilhas Holandesas;2014;4455;7169
775;Argentina;2014;20385;95130
776;Aruba;2014;450;755
777;Austrália;2014;6308;43709
778;Áustria;2014;0;0
779;Bahamas;2014;0;0
780;Bangladesh;2014;0;0
781;Barbados;2014;0;0
782;Barein;2014;0;0
783;Bélgica;2014;151320;704093
784;Belice;2014;0;0
785;Benin;2014;0;0
786;Bolívia;2014;12534;18303
787;Bósnia-Herzegovina;2014;0;0
788;Brasil;2014;0;0
789;Bulgária;2014;0;0
790;Cabo Verde;2014;0;0
791;Camarões;2014;0;0
792;Canadá;2014;35082;226875
793;Catar;2014;0;0
794;Cayman, Ilhas;2014;0;0
795;Chile;2014;0;0
796;China;2014;64040;455340
797;Chipre;2014;0;0
798;Cingapura;2014;541;3887
799;Cocos (Keeling), Ilhas;2014;0;0
800;Colômbia;2014;0;0
801;Comores;2014;0;0
802;Congo;2014;0;0
803;Coreia, Republica Sul;2014;0;0
804;Costa do Marfim;2014;0;0
805;Costa Rica;2014;0;0
806;Croácia;2014;0;0
807;Cuba;2014;38875;43200
808;Curaçao;2014;0;0
809;Dinamarca;2014;3240;16871
810;Dominica;2014;0;0
811;El Salvador;2014;0;0
812;Emirados Arabes Unidos;2014;640;3381
813;Equador;2014;0;0
814;Eslovaca, Republica;2014;0;0
815;Espanha;2014;0;0
816;Estados Unidos;2014;222267;494216
817;Estônia;2014;0;0
818;Filipinas;2014;0;0
819;Finlândia;2014;12960;94962
820;França;2014;33755;167807
821;Gana;2014;0;0
822;Gibraltar;2014;0;0
823;Granada;2014;0;0
824;Grécia;2014;0;0
825;Guatemala;2014;0;0
826;Guiana;2014;0;0
827;Guiana Francesa;2014;0;0
828;Guine Bissau;2014;0;0
829;Guine Equatorial;2014;5646;11983
830;Haiti;2014;0;0
831;Honduras;2014;0;0
832;Hong Kong;2014;18130;63534
833;Hungria;2014;0;0
