;pais_destino;ano;quantidade_l;valor_uss
493;Cayman, Ilhas;2012;0;0
494;Chile;2012;8550;15438
495;China;2012;87905;642177
496;Chipre;2012;0;0
497;Cingapura;2012;1212;5310
498;Cocos (Keeling), Ilhas;2012;0;0
499;Colômbia;2012;0;0
500;Comores;2012;0;0
501;Congo;2012;0;0
502;Coreia, Republica Sul;2012;0;0
503;Costa Rica;2012;0;0
504;Croácia;2012;0;0
505;Cuba;2012;0;0
506;Curaçao;2012;0;0
507;Dinamarca;2012;4716;23802
508;Dominica;2012;0;0
509;El Salvador;2012;0;0
510;Emirados Arabes Unidos;2012;675;3300
511;Equador;2012;0;0
512;Eslovaca, Republica;2012;0;0
513;Espanha;2012;0;0
514;Estados Unidos;2012;146585;303986
515;Estônia;2012;3321;19384
516;Filipinas;2012;0;0
517;Finlândia;2012;17100;67959
518;França;2012;195604;185791
519;Gana;2012;0;0
520;Gibraltar;2012;0;0
521;Granada;2012;0;0
522;Grécia;2012;0;0
523;Guatemala;2012;0;0
524;Guiana;2012;0;0
525;Guiana Francesa;2012;0;0
526;Guine Bissau;2012;0;0
527;Guine Equatorial;2012;819;2530
528;Haiti;2012;0;0
529;Honduras;2012;0;0
530;Hong Kong;2012;1609;7653
531;Hungria;2012;0;0
532;Ilha de Man;2012;0;0
533;India;2012;0;0
534;Indonésia;2012;0;0
535;Irã;2012;0;0
536;Irlanda;2012;0;0
537;Itália;2012;792;5622
538;Japão;2012;29281;116961
539;Jordânia;2012;0;0
540;Letônia;2012;0;0
541;Libéria;2012;0;0
542;Luxemburgo;2012;2444;16547
543;Malásia;2012;0;0
544;Malta;2012;0;0
545;Marshall, Ilhas;2012;0;0
546;Mauritânia;2012;0;0
547;México;2012;0;0
548;Moçambique;2012;0;0
549;Montenegro;2012;0;0
550;Namibia;2012;0;0
551;Nicaragua;2012;0;0
552;Nigéria;2012;6449;10196
553;Noruega;2012;5104;31515
554;Nova Caledônia;2012;0;0
555;Nova Zelândia;2012;2364;8817
556;Omã;2012;0;0
557;Países Baixos;2012;134879;539641
558;Panamá;2012;39;2262
559;Paraguai;2012;354824;428279
560;Peru;2012;0;0
561;Polônia;2012;21663;89158
562;Portugal;2012;47172;47022
563;Quênia;2012;94;458
564;Reino Unido;2012;82937;334856
565;Rússia;2012;4528176;2103968
566;São Tomé e Príncipe;2012;0;0
567;São Vicente e Granadinas;2012;0;0
568;Serra Leoa;2012;0;0
569;Singapura;2012;0;0
570;Suazilândia;2012;0;0
571;Suécia;2012;2705;17280
572;Suíça;2012;4014;47240
573;Suriname;2012;396;1288
574;Tailândia;2012;0;0
575;Taiwan (FORMOSA);2012;0;0
576;Tcheca, República;2012;7960;27789
577;Togo;2012;0;0
578;Trinidade Tobago;2012;531;2720
579;Turquia;2012;0;0
580;Tuvalu;2012;0;0
581;Uruguai;2012;1135;3879
582;Vanuatu;2012;0;0
583;Venezuela;2012;1029;7492
584;Vietnã;2012;0;0
585;Afeganistão;2013;0;0
586;África do Sul;2013;0;0
587;Alemanha;2013;61699;265978
588;Angola;2013;1573;9300
589;Antígua e Barbuda;2013;0;0
590;Antilhas Holandesas;2013;11281;19565
591;Argentina;2013;0;0
592;Aruba;2013;0;0
593;Austrália;2013;16707;101715
594;Áustria;2013;0;0
595;Bahamas;2013;581;5145
596;Bangladesh;2013;0;0
597;Barbados;2013;0;0
598;Barein;2013;0;0
599;Bélgica;2013;22461;95893
600;Belice;2013;0;0
601;Benin;2013;0;0
602;Bolívia;2013;19147;25998
603;Bósnia-Herzegovina;2013;0;0
604;Brasil;2013;0;0
605;Bulgária;2013;0;0
606;Cabo Verde;2013;0;0
607;Camarões;2013;0;0
608;Canadá;2013;25329;174643
609;Catar;2013;0;0
610;Cayman, Ilhas;2013;0;0
611;Chile;2013;0;0
612;China;2013;40929;279956
613;Chipre;2013;0;0
614;Cingapura;2013;766;5779
615;Cocos (Keeling), Ilhas;2013;0;0
616;Colômbia;2013;8;30
617;Comores;2013;0;0
618;Congo;2013;0;0
619;Coreia, Republica Sul;2013;0;0
620;Costa Rica;2013;0;0
621;Croácia;2013;0;0
622;Cuba;2013;0;0
623;Curaçao;2013;0;0
624;Dinamarca;2013;17892;101915
625;Dominica;2013;0;0
626;El Salvador;2013;0;0
627;Emirados Arabes Unidos;2013;0;0
628;Equador;2013;0;0
629;Eslovaca, Republica;2013;0;0
630;Espanha;2013;1972980;3748940
631;Estados Unidos;2013;245368;786556
632;Estônia;2013;0;0
633;Filipinas;2013;0;0
634;Finlândia;2013;36682;283114
635;França;2013;6885;42256
636;Gana;2013;0;0
637;Gibraltar;2013;0;0
638;Granada;2013;0;0
639;Grécia;2013;0;0
640;Guatemala;2013;0;0
641;Guiana;2013;0;0
642;Guiana Francesa;2013;0;0
643;Guine Bissau;2013;0;0
644;Guine Equatorial;2013;1108;5336
645;Haiti;2013;0;0
646;Honduras;2013;0;0
647;Hong Kong;2013;16013;61224
648;Hungria;2013;0;0
649;Ilha de Man;2013;0;0
650;India;2013;0;0
651;Indonésia;2013;0;0
652;Irã;2013;0;0
653;Irlanda;2013;0;0
654;Itália;2013;1710;11967
655;Japão;2013;91988;429088
656;Jordânia;2013;0;0
657;Letônia;2013;0;0
658;Libéria;2013;0;0
659;Luxemburgo;2013;5135;29474
660;Malásia;2013;0;0
661;Malta;2013;0;0
662;Marshall, Ilhas;2013;0;0
663;Mauritânia;2013;0;0
664;México;2013;0;0
665;Moçambique;2013;0;0
666;Montenegro;2013;0;0
667;Namibia;2013;0;0
668;Nicaragua;2013;0;0
669;Nigéria;2013;1350;2245
670;Noruega;2013;2375;19008
671;Nova Caledônia;2013;0;0
672;Nova Zelândia;2013;1004;4092
673;Omã;2013;0;0
674;Países Baixos;2013;57792;255690
675;Panamá;2013;0;0
676;Paraguai;2013;481564;680828
677;Peru;2013;0;0
678;Polônia;2013;19249;90960
679;Portugal;2013;23810;17627
680;Quênia;2013;6;4
681;Reino Unido;2013;59161;305005
682;Rússia;2013;5893291;14795694
683;São Tomé e Príncipe;2013;0;0
684;São Vicente e Granadinas;2013;0;0
685;Serra Leoa;2013;0;0
686;Singapura;2013;0;0
687;Suazilândia;2013;0;0
688;Suécia;2013;3195;20183
689;Suíça;2013;2997;29785
690;Suriname;2013;1800;2960
691;Tailândia;2013;0;0
692;Taiwan (FORMOSA);2013;0;0
693;Tcheca, República;2013;3697;23549
694;Togo;2013;0;0
695;Trinidade Tobago;2013;0;0
696;Turquia;2013;0;0
697;Tuvalu;2013;0;0
698;Uruguai;2013;1526;13343
699;Vanuatu;2013;0;0
700;Venezuela;2013;0;0
701;Vietnã;2013;0;0
702;Afeganistão;2014;0;0
703;África do Sul;2014;0;0
704;Alemanha;2014;213348;761653
705;Angola;2014;12182;23124
706;Antígua e Barbuda;2014;0;0
707;Antilhas Holandesas;2014;4455;7169
708;Argentina;2014;20385;95130
709;Aruba;2014;450;755
710;Austrália;2014;6308;43709
711;Áustria;2014;0;0
712;Bahamas;2014;0;0
713;Bangladesh;2014;0;0
714;Barbados;2014;0;0
715;Barein;2014;0;0
716;Bélgica;2014;151320;704093
717;Belice;2014;0;0
718;Benin;2014;0;0
719;Bolívia;2014;12534;18303
720;Bósnia-Herzegovina;2014;0;0
721;Brasil;2014;0;0
722;Bulgária;2014;0;0
723;Cabo Verde;2014;0;0
724;Camarões;2014;0;0
725;Canadá;2014;35082;226875
726;Catar;2014;0;0
727;Cayman, Ilhas;2014;0;0
728;Chile;2014;0;0
729;China;2014;64040;455340
730;Chipre;2014;0;0
731;Cingapura;2014;541;3887
732;Cocos (Keeling), Ilhas;2014;0;0
733;Colômbia;2014;0;0
734;Comores;2014;0;0
735;Congo;2014;0;0
736;Coreia, Republica Sul;2014;0;0
737;Costa Rica;2014;0;0
738;Croácia;2014;0;0
739;Cuba;2014;38875;43200
740;Curaçao;2014;0;0
741;Dinamarca;2014;3240;16871
742;Dominica;2014;0;0
743;El Salvador;2014;0;0
744;Emirados Arabes Unidos;2014;640;3381
745;Equador;2014;0;0
746;Eslovaca, Republica;2014;0;0
747;Espanha;2014;0;0
748;Estados Unidos;2014;222267;494216
749;Estônia;2014;0;0
750;Filipinas;2014;0;0
751;Finlândia;2014;12960;94962
752;França;2014;33755;167807
753;Gana;2014;0;0
754;Gibraltar;2014;0;0
755;Granada;2014;0;0
756;Grécia;2014;0;0
757;Guatemala;2014;0;0
758;Guiana;2014;0;0
759;Guiana Francesa;2014;0;0
760;Guine Bissau;2014;0;0
761;Guine Equatorial;2014;5646;11983
762;Haiti;2014;0;0
763;Honduras;2014;0;0
764;Hong Kong;2014;18130;63534
765;Hungria;2014;0;0
766;Ilha de Man;2014;0;0
767;India;2014;0;0
768;Indonésia;2014;0;0
769;Irã;2014;0;0
770;Irlanda;2014;0;0
771;Itália;2014;604;2492
772;Japão;2014;106426;401774
773;Jordânia;2014;0;0
774;Letônia;2014;0;0
775;Libéria;2014;0;0
776;Luxemburgo;2014;8281;52400
777;Malásia;2014;0;0
778;Malta;2014;0;0
779;Marshall, Ilhas;2014;0;0
780;Mauritânia;2014;0;0
781;México;2014;1521;24336
782;Moçambique;2014;0;0
783;Montenegro;2014;0;0
784;Namibia;2014;0;0
785;Nicaragua;2014;0;0
786;Nigéria;2014;0;0
787;Noruega;2014;7179;50464
788;Nova Caledônia;2014;0;0
789;Nova Zelândia;2014;2800;13675
790;Omã;2014;0;0
791;Países Baixos;2014;165289;773767
792;Panamá;2014;0;0
793;Paraguai;2014;521847;908028
794;Peru;2014;0;0
795;Polônia;2014;30181;107957
796;Portugal;2014;71544;79141
797;Quênia;2014;0;0
798;Reino Unido;2014;305807;1373747
799;Rússia;2014;190656;61440
800;São Tomé e Príncipe;2014;0;0
801;São Vicente e Granadinas;2014;0;0
802;Serra Leoa;2014;0;0
803;Singapura;2014;0;0
804;Suazilândia;2014;0;0
805;Suécia;2014;10404;51057
806;Suíça;2014;27933;231762
807;Suriname;2014;6;19
808;Tailândia;2014;0;0
809;Taiwan (FORMOSA);2014;12519;67907
810;Tcheca, República;2014;4500;35005
811;Togo;2014;0;0
812;Trinidade Tobago;2014;360;1600
813;Turquia;2014;0;0
814;Tuvalu;2014;0;0
815;Uruguai;2014;0;0
816;Vanuatu;2014;0;0
817;Venezuela;2014;14;232
818;Vietnã;2014;0;0
819;Afeganistão;2015;0;0
820;África do Sul;2015;0;0
821;Alemanha;2015;10680;44780
822;Angola;2015;1908;17089
823;Antígua e Barbuda;2015;0;0
824;Antilhas Holandesas;2015;6660;10545
825;Argentina;2015;0;0
826;Aruba;2015;0;0
827;Austrália;2015;7437;48011
828;Áustria;2015;0;0
829;Bahamas;2015;0;0
830;Bangladesh;2015;0;0
831;Barbados;2015;0;0
832;Barein;2015;0;0
833;Bélgica;2015;4473;26399
834;Belice;2015;0;0
835;Benin;2015;0;0
836;Bolívia;2015;10674;12990
837;Bósnia-Herzegovina;2015;0;0
838;Brasil;2015;0;0
839;Bulgária;2015;0;0
840;Cabo Verde;2015;0;0
841;Camarões;2015;0;0
842;Canadá;2015;24547;118394
843;Catar;2015;0;0
844;Cayman, Ilhas;2015;0;0
845;Chile;2015;0;0
846;China;2015;47609;222866
847;Chipre;2015;0;0
848;Cingapura;2015;1116;2774
849;Cocos (Keeling), Ilhas;2015;0;0
850;Colômbia;2015;0;0
851;Comores;2015;0;0
852;Congo;2015;0;0
853;Coreia, Republica Sul;2015;0;0
854;Costa Rica;2015;0;0
855;Croácia;2015;0;0
856;Cuba;2015;97965;108864
857;Curaçao;2015;0;0
858;Dinamarca;2015;7080;29306
859;Dominica;2015;0;0
860;El Salvador;2015;0;0
861;Emirados Arabes Unidos;2015;765;3740
862;Equador;2015;0;0
863;Eslovaca, Republica;2015;0;0
864;Espanha;2015;0;0
865;Estados Unidos;2015;195896;524109
866;Estônia;2015;0;0
867;Filipinas;2015;0;0
868;Finlândia;2015;0;0
869;França;2015;1596;4749
870;Gana;2015;0;0
871;Gibraltar;2015;0;0
872;Granada;2015;0;0
873;Grécia;2015;0;0
874;Guatemala;2015;0;0
875;Guiana;2015;0;0
